date,btc_p,ltc_p,eth_p,xrp_p,doge_p
23/02/2017,1125.679,3.912,12.69549,0.00589478,0.00020757
24/02/2017,1182.0,3.88249,13.09401,0.0057006,0.000207775
27/02/2017,1167.0,3.89328,14.43998,0.00560862,0.000208376
28/02/2017,1190.212,3.83075,15.37071,0.00553564,0.000204978
01/03/2017,1180.0,3.77,15.63,0.0063859,0.000227103
02/03/2017,1225.0,3.86,17.3,0.00647392,0.000213092
03/03/2017,1254.0,4.05855,18.9871,0.00633945,0.000210722
07/03/2017,1275.0,4.05,19.5,0.259959012,0.00253279
08/03/2017,1224.917,3.95,18.82279,0.174612001,0.0017951
10/03/2017,1187.194,3.90011,17.59999,0.203318,0.00110839
13/03/2017,1224.369,3.85081,23.30013,0.00638493,0.000246985
14/03/2017,1230.0,4.32674,28.19957,0.00638123,0.000237921
15/03/2017,1243.995,4.21874,28.37048,0.00631403,0.000242898
16/03/2017,1252.92,4.35835,34.75,0.00639383,0.000234935
17/03/2017,1165.1,4.34534,44.88999,0.00611606,0.000223222
20/03/2017,1017.937,3.80261,42.36041,0.00697532,0.000236306
21/03/2017,1029.999,4.04161,41.89001,0.00690917,0.00024568
22/03/2017,1109.99,4.07064,42.48308,0.00730094,0.000243432
23/03/2017,1032.01,3.86127,41.24972,0.010582,0.000242123
24/03/2017,1024.03,3.91886,42.70261,0.0105181,0.000264487
27/03/2017,958.791,4.04057,49.99999,0.00959722,0.000254212
28/03/2017,1039.851,4.05974,48.71658,0.00951388,0.000273136
29/03/2017,1043.281,4.19326,50.23677,0.0101013,0.000272136
30/03/2017,1043.43,4.2816,53.01498,0.0132755,0.000303718
31/03/2017,1040.0,7.49488,51.89999,0.020889301,0.00032812
04/04/2017,1148.428,8.58428,44.1153,0.037454899,0.000432034
05/04/2017,1141.998,9.04635,44.74849,0.078914396,0.000744322
07/04/2017,1191.56,10.91921,43.4099,0.254709005,0.00251822
10/04/2017,1211.0,9.27334,43.93521,0.214773998,0.00102438
12/04/2017,1223.499,9.53286,43.95189,0.253571004,0.00246346
13/04/2017,1219.149,11.80772,46.5019,0.034382999,0.000424517
18/04/2017,1197.5,11.22997,47.8,0.0331835,0.000459319
19/04/2017,1202.378,11.03446,49.90852,0.030173199,0.000447593
20/04/2017,1204.2,10.10044,48.00001,0.029983699,0.000443007
21/04/2017,1241.877,11.0,49.31016,0.0327795,0.00045149
24/04/2017,1242.48,15.15856,48.50386,0.0313843,0.00051489
25/04/2017,1251.596,15.0,49.56142,0.032346401,0.000527243
26/04/2017,1276.07,15.53488,49.89999,0.0327968,0.000543756
27/04/2017,1290.521,15.01087,53.24,0.034816001,0.000631937
28/04/2017,1335.493,14.84996,62.59071,0.044475,0.000677997
01/05/2017,1350.717,15.65775,78.367,0.006201,0.000228668
04/05/2017,1513.599,21.49806,80.39984,0.0355445,0.000441552
05/05/2017,1535.415,23.40128,94.39965,0.093550503,0.000839674
09/05/2017,1670.059,28.40103,87.07999,0.215188995,0.00190754
10/05/2017,1721.749,33.5,86.97999,0.237016007,0.00100133
12/05/2017,1836.059,30.73097,88.07932,0.246101007,0.00247949
15/05/2017,1788.04,28.45155,88.33819,0.270720005,0.00112801
16/05/2017,1739.75,25.34005,90.87,0.349860996,0.00105947
17/05/2017,1786.85,23.59999,88.031,0.394131988,0.00131843
18/05/2017,1836.056,25.65995,87.70025,0.364868999,0.00150837
19/05/2017,1900.0,28.49319,96.08999,0.327800989,0.00151757
22/05/2017,2011.106,25.31202,145.25,0.317954004,0.0034051
23/05/2017,2085.992,23.67368,155.6,0.323368013,0.00356202
24/05/2017,2233.975,30.75689,166.94998,0.295890003,0.00365906
25/05/2017,2408.24,33.80884,185.2399,0.246065006,0.00299396
26/05/2017,2259.2,26.99999,168.00014,0.271807998,0.00242357
30/05/2017,2248.427,25.43966,193.30206,0.205323994,0.00262329
31/05/2017,2159.096,23.57136,226.0,0.246590003,0.00265701
01/06/2017,2291.301,25.78003,228.45,0.00631464,0.000219526
02/06/2017,2399.981,27.32096,219.00151,0.00644954,0.000214024
06/06/2017,2690.0,30.67559,247.6,0.284548014,0.00374085
07/06/2017,2871.9,30.27535,263.6,0.254640996,0.00263617
09/06/2017,2811.631,30.39897,260.2379,0.226186007,0.00201855
12/06/2017,2924.879,33.12001,333.09998,0.232544005,0.00266259
13/06/2017,2609.442,28.39001,384.99002,0.266153008,0.00331295
14/06/2017,2710.0,30.3,386.12766,0.278447002,0.00309163
15/06/2017,2452.686,29.05,347.23587,0.259265989,0.00304276
16/06/2017,2428.707,29.26995,345.987,0.262068003,0.00316275
19/06/2017,2497.762,43.42496,349.49,0.296068013,0.00314105
20/06/2017,2584.858,47.02074,356.4797,0.324427009,0.00321813
21/06/2017,2705.1,45.09778,348.49997,0.296366006,0.00312464
22/06/2017,2644.968,43.73207,324.47995,0.297847986,0.00310377
23/06/2017,2684.981,46.0653,321.60077,0.319977999,0.00314277
26/06/2017,2490.126,40.34004,277.00018,0.27728799,0.00275014
27/06/2017,2405.0,37.9,252.23907,0.276306003,0.0026226
28/06/2017,2538.01,39.325,283.66,0.280454993,0.00279303
29/06/2017,2554.021,41.90211,316.2,0.265421003,0.00265579
30/06/2017,2526.074,40.064,292.99945,0.262930006,0.00260168
03/07/2017,2505.571,41.49999,284.0,0.00653433,0.000208639
06/07/2017,2611.387,53.19887,266.3,0.27978301,0.00330153
07/07/2017,2605.641,51.01003,266.49,0.239480004,0.00239723
11/07/2017,2339.229,44.25018,210.0,0.210354,0.00117737
12/07/2017,2302.2,43.80525,190.98997,0.222822994,0.00272014
13/07/2017,2373.846,46.78,223.0,0.200809002,0.00182277
14/07/2017,2338.146,45.4588,204.79752,0.190769002,0.00168127
17/07/2017,1907.239,40.53231,155.2,0.177889004,0.0015197
18/07/2017,2217.0,42.24799,188.72,0.188718006,0.00186367
19/07/2017,2310.8,43.47451,228.0,0.168387994,0.00168884
20/07/2017,2254.998,39.909,193.99,0.188295007,0.00193452
21/07/2017,2850.0,44.75301,227.5,0.182607993,0.00193628
24/07/2017,2761.2,45.28583,229.85,0.192001998,0.00197971
25/07/2017,2752.1,44.686,225.8,0.178103998,0.00177338
26/07/2017,2556.002,42.09,204.0,0.173822001,0.00181014
27/07/2017,2525.0,41.84999,202.21011,0.173456997,0.00185596
28/07/2017,2675.392,41.62096,203.09795,0.165937006,0.0017819
31/07/2017,2797.7,40.712,198.4549,0.167385995,0.0017184
02/08/2017,2727.027,43.0,226.25,0.00643797,0.00021065
03/08/2017,2700.8,41.85878,218.48999,0.00650897,0.000207948
08/08/2017,3395.0,45.8391,269.8,0.192586005,0.0019611
09/08/2017,3430.52,49.10311,296.98,0.211518005,0.00159584
11/08/2017,3433.99,47.46014,300.2,0.217436999,0.00122179
14/08/2017,4084.0,45.30001,298.0,0.169991001,0.00176245
15/08/2017,4355.662,45.9941,302.703,0.161220998,0.00173797
16/08/2017,4172.2,42.9999,286.65015,0.160430998,0.00177439
17/08/2017,4388.0,44.05,302.258,0.157498002,0.0017103
18/08/2017,4291.0,43.94,300.79,0.158883005,0.00167807
21/08/2017,4078.244,46.15,299.44998,0.191918001,0.00171183
22/08/2017,3999.884,48.49997,321.99783,0.239286005,0.00171605
23/08/2017,4104.9,46.51001,314.87537,0.246827006,0.00173174
24/08/2017,4151.0,53.99794,317.315,0.218958005,0.00181637
25/08/2017,4334.682,50.555,326.30374,0.217828006,0.00178962
29/08/2017,4387.828,62.1589,347.54,0.218564004,0.00186691
30/08/2017,4590.169,62.865,371.99,0.228006005,0.00210522
