,Date,xrp_p
521,05/06/2017 23:59,0.29400301
522,06/06/2017 23:59,0.284548014
523,07/06/2017 23:59,0.27978301
524,08/06/2017 23:59,0.289678007
525,09/06/2017 23:59,0.286018997
526,10/06/2017 23:59,0.260874003
527,11/06/2017 23:59,0.272758991
528,12/06/2017 23:59,0.253964007
529,13/06/2017 23:59,0.266153008
530,14/06/2017 23:59,0.278447002
531,15/06/2017 23:59,0.259265989
532,16/06/2017 23:59,0.262068003
533,17/06/2017 23:59,0.268350989
534,18/06/2017 23:59,0.28459999
535,19/06/2017 23:59,0.296068013
536,20/06/2017 23:59,0.324427009
537,21/06/2017 23:59,0.296366006
538,22/06/2017 23:59,0.297847986
539,23/06/2017 23:59,0.319977999
540,24/06/2017 23:59,0.31110999
541,25/06/2017 23:59,0.298422992
542,26/06/2017 23:59,0.27728799
543,27/06/2017 23:59,0.276306003
544,28/06/2017 23:59,0.280454993
545,29/06/2017 23:59,0.265421003
546,30/06/2017 23:59,0.262930006
547,01/07/2017 23:59,0.254743993
548,02/07/2017 23:59,0.259449005
549,03/07/2017 23:59,0.259959012
550,04/07/2017 23:59,0.254709005
551,05/07/2017 23:59,0.256523013
552,06/07/2017 23:59,0.254640996
553,07/07/2017 23:59,0.239480004
554,08/07/2017 23:59,0.236133993
555,09/07/2017 23:59,0.233416006
556,10/07/2017 23:59,0.203164995
557,11/07/2017 23:59,0.185019001
558,12/07/2017 23:59,0.205354005
559,13/07/2017 23:59,0.200809002
560,14/07/2017 23:59,0.190769002
561,15/07/2017 23:59,0.170589
562,16/07/2017 23:59,0.148056
563,17/07/2017 23:59,0.177889004
564,18/07/2017 23:59,0.188718006
565,19/07/2017 23:59,0.168387994
566,20/07/2017 23:59,0.188295007
567,21/07/2017 23:59,0.182607993
568,22/07/2017 23:59,0.193320006
569,23/07/2017 23:59,0.195058003
570,24/07/2017 23:59,0.192001998
571,25/07/2017 23:59,0.178103998
572,26/07/2017 23:59,0.173822001
573,27/07/2017 23:59,0.173456997
574,28/07/2017 23:59,0.165937006
575,29/07/2017 23:59,0.169871002
576,30/07/2017 23:59,0.165081993
577,31/07/2017 23:59,0.167385995
578,01/08/2017 23:59,0.177053005
579,02/08/2017 23:59,0.173113003
580,03/08/2017 23:59,0.174612001
581,04/08/2017 23:59,0.173742995
582,05/08/2017 23:59,0.184736997
583,06/08/2017 23:59,0.180444002
584,07/08/2017 23:59,0.179021001
585,08/08/2017 23:59,0.192586005
586,09/08/2017 23:59,0.182946995
587,10/08/2017 23:59,0.180399001
588,11/08/2017 23:59,0.179306999
589,12/08/2017 23:59,0.173852995
590,13/08/2017 23:59,0.168091998
591,14/08/2017 23:59,0.169991001
592,15/08/2017 23:59,0.161220998
593,16/08/2017 23:59,0.160430998
594,17/08/2017 23:59,0.157498002
595,18/08/2017 23:59,0.158883005
596,19/08/2017 23:59,0.155056998
597,20/08/2017 23:59,0.158735007
598,21/08/2017 23:59,0.191918001
599,22/08/2017 23:59,0.239286005
600,23/08/2017 23:59,0.246827006
601,24/08/2017 23:59,0.218958005
602,25/08/2017 23:59,0.217828006
603,26/08/2017 23:59,0.212577
604,27/08/2017 23:59,0.202995002
605,28/08/2017 23:59,0.224508002
606,29/08/2017 23:59,0.218564004
607,30/08/2017 23:59,0.228006005
608,31/08/2017 23:59,0.255629987
609,01/09/2017 23:59,0.248478994
610,02/09/2017 23:59,0.226668999
611,03/09/2017 23:59,0.228810996
612,04/09/2017 23:59,0.204968005
613,05/09/2017 23:59,0.215188995
614,06/09/2017 23:59,0.226186007
615,07/09/2017 23:59,0.223639995
616,08/09/2017 23:59,0.211518005
617,09/09/2017 23:59,0.209995002
618,10/09/2017 23:59,0.213030994
619,11/09/2017 23:59,0.214441001
620,12/09/2017 23:59,0.209303007
621,13/09/2017 23:59,0.200777993
622,14/09/2017 23:59,0.164167002
623,15/09/2017 23:59,0.181357995
624,16/09/2017 23:59,0.179082006
625,17/09/2017 23:59,0.178393006
626,18/09/2017 23:59,0.189768001
627,19/09/2017 23:59,0.184040993
628,20/09/2017 23:59,0.182078004
629,21/09/2017 23:59,0.171754003
630,22/09/2017 23:59,0.17351
631,23/09/2017 23:59,0.177882001
632,24/09/2017 23:59,0.175787002
633,25/09/2017 23:59,0.181486994
634,26/09/2017 23:59,0.186119005
635,27/09/2017 23:59,0.203299001
636,28/09/2017 23:59,0.196131006
637,29/09/2017 23:59,0.193606004
638,30/09/2017 23:59,0.197529003
639,01/10/2017 23:59,0.206532001
640,02/10/2017 23:59,0.202675998
641,03/10/2017 23:59,0.203318
642,04/10/2017 23:59,0.214773998
643,05/10/2017 23:59,0.237016007
644,06/10/2017 23:59,0.234038994
645,07/10/2017 23:59,0.238609999
646,08/10/2017 23:59,0.279944003
647,09/10/2017 23:59,0.251825005
648,10/10/2017 23:59,0.260733008
649,11/10/2017 23:59,0.264438987
650,12/10/2017 23:59,0.248413995
651,13/10/2017 23:59,0.260488987
652,14/10/2017 23:59,0.257319987
